position_x,position_y,task_type,wifi_rssi,wifi_snr,wifi_bandwidth,wifi_latency,wifi_distance,5g_rssi,5g_snr,5g_bandwidth,5g_latency,5g_distance,ble_rssi,ble_snr,ble_bandwidth,ble_latency,ble_distance,optimal_network
10,0,1,-94.1,0.9,11.51,994,134.5362404707371,-78.9,21.1,200.0,10,275.86228448267445,-999.0,-999.0,0.0,9999,9999.0,1
20,0,0,-94.5,0.5,10.94,996,128.06248474865697,-77.4,22.6,200.0,10,269.0724809414742,-999.0,-999.0,0.0,9999,9999.0,0
30,0,0,-91.7,3.3,16.47,971,122.06555615733703,-65.8,34.2,200.0,10,262.48809496813374,-999.0,-999.0,0.0,9999,9999.0,0
40,0,1,-94.5,0.5,10.91,996,116.61903789690601,-74.3,25.7,200.0,10,256.12496949731394,-999.0,-999.0,0.0,9999,9999.0,1
50,0,0,-999.0,-999.0,0.0,9999,9999.0,-68.1,31.9,200.0,10,250.0,-999.0,-999.0,0.0,9999,9999.0,1
60,0,0,-94.4,0.6,10.95,996,107.70329614269008,-70.1,29.9,200.0,10,244.13111231467406,-999.0,-999.0,0.0,9999,9999.0,0
70,0,0,-93.4,1.6,12.97,989,104.4030650891055,-73.5,26.5,200.0,10,238.53720883753127,-999.0,-999.0,0.0,9999,9999.0,0
80,0,0,-999.0,-999.0,0.0,9999,9999.0,-72.7,27.3,200.0,10,233.23807579381202,-999.0,-999.0,0.0,9999,9999.0,1
90,0,1,-88.9,6.1,23.54,878,100.4987562112089,-71.9,28.1,200.0,10,228.25424421026653,-999.0,-999.0,0.0,9999,9999.0,1
100,0,1,-88.6,6.4,24.25,862,100.0,-63.3,36.7,200.0,10,223.60679774997897,-999.0,-999.0,0.0,9999,9999.0,1
110,0,0,-93.4,1.6,12.95,990,100.4987562112089,-69.8,30.2,200.0,10,219.31712199461307,-999.0,-999.0,0.0,9999,9999.0,0
120,0,0,-94.4,0.6,11.1,995,101.9803902718557,-72.3,27.7,200.0,10,215.40659228538016,-999.0,-999.0,0.0,9999,9999.0,0
130,0,0,-81.7,13.3,44.82,166,104.4030650891055,-70.1,29.9,200.0,10,211.8962010041709,-999.0,-999.0,0.0,9999,9999.0,0
140,0,0,-86.2,8.8,30.91,654,107.70329614269008,-74.2,25.8,200.0,10,468.61498055439927,-999.0,-999.0,0.0,9999,9999.0,0
150,0,1,-999.0,-999.0,0.0,9999,9999.0,-76.2,23.8,200.0,10,460.9772228646444,-999.0,-999.0,0.0,9999,9999.0,1
160,0,0,-999.0,-999.0,0.0,9999,9999.0,-64.5,35.5,200.0,10,203.9607805437114,-999.0,-999.0,0.0,9999,9999.0,1
170,0,1,-93.7,1.3,12.28,992,122.06555615733703,-64.5,35.5,200.0,10,202.23748416156684,-999.0,-999.0,0.0,9999,9999.0,1
180,0,1,-999.0,-999.0,0.0,9999,9999.0,-68.2,31.8,200.0,10,200.9975124224178,-999.0,-999.0,0.0,9999,9999.0,1
190,0,1,-999.0,-999.0,0.0,9999,9999.0,-70.6,29.4,200.0,10,200.24984394500785,-999.0,-999.0,0.0,9999,9999.0,1
200,0,1,-999.0,-999.0,0.0,9999,9999.0,-77.0,23.0,200.0,10,200.0,-999.0,-999.0,0.0,9999,9999.0,1
210,0,0,-999.0,-999.0,0.0,9999,9999.0,-65.0,35.0,200.0,10,200.24984394500785,-999.0,-999.0,0.0,9999,9999.0,1
220,0,0,-999.0,-999.0,0.0,9999,9999.0,-67.3,32.7,200.0,10,200.9975124224178,-999.0,-999.0,0.0,9999,9999.0,1
